target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	836	157.038
Tfru30712_t	603	404	836	157.038
Tfru03648_t	870	671	651	73.6272
Tfru14711_t	891	692	1010	110.763
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	4	1.49535
Tfru14836_t	2532	2333	171	5.56238
Tfru09187_t	762	563	129	17.3885
Tfru09188_t	792	593	1	0.127975
Tfru09189_t	1881	1682	179	8.07619
Tfru09190_t	1119	920	0	0
Tfru09191_t	1050	851	1	0.0891764
Tfru09192_t	1977	1778	34	1.4512
Tfru09193_t	720	521	73	10.6332
Tfru09194_t	579	380	1	0.199708
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	0	0
Tfru09198_t	513	314	237	57.2794
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	0	0
Tfru09201_t	3069	2870	78	2.06249
Tfru09202_t	3075	2876	9	0.237483
Tfru09203_t	2010	1811	150	6.28568
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	94	8.62585
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	0	0
Tfru09208_t	840	641	69	8.16903
Tfru09209_t	1008	809	414	38.8357
Tfru09210_t	1548	1349	10	0.562559
Tfru09211_t	1065	866	295	25.8514
Tfru09212_t	321	122	4	2.48817
Tfru09213_t	1428	1229	224	13.8317
Tfru09214_t	1443	1244	1368	83.4537
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	284	16.303
Tfru09217_t	1836	1637	71	3.29147
Tfru09218_t	1422	1223	2	0.124103
Tfru09219_t	1161	962	3	0.236661
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	130	42.8939
Tfru09222_t	696	497	547	83.5239
Tfru09223_t	3159	2960	416	10.6655
Tfru09224_t	870	671	223	25.221
Tfru09225_t	447	248	149	45.5947
Tfru09226_t	879	680	2	0.223203
Tfru09227_t	393	194	7	2.73827
Tfru01397_t	384	185	49	20.1004
Tfru01398_t	402	203	24	8.97212
Tfru01399_t	1083	884	28.6961	2.46349
Tfru01400_t	1041	842	259	23.3436
Tfru01401_t	312	113	0	0
Tfru01402_t	342	143	61	32.3723
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	1	0.0509323
Tfru01405_t	1284	1085	6	0.419663
Tfru05778_t	822	623	716	87.2177
Tfru05779_t	426	227	3314	1107.91
Tfru05780_t	693	494	84	12.9042
Tfru05781_t	1831	1632	296	13.7642
Tfru30618_t	702	503	31	4.67706
Tfru30619_t	1200	1001	34	2.57765
Tfru30620_t	1710	1511	179	8.99018
Tfru30621_t	1515	1316	225	12.975
Tfru20942_t	489	290	14	3.66361
Tfru31153_t	852	653	43	4.99729
Tfru31154_t	504	305	140	34.8344
Tfru31155_t	3048	2849	1049	27.9423
Tfru31156_t	420	221	0	0
Tfru31157_t	1257	1058	0	0
Tfru31158_t	873	674	0	0
Tfru31159_t	1263	1064	0	0
Tfru31160_t	2709	2510	465	14.0591
Tfru31161_t	363	164	4	1.85095
Tfru31162_t	555	356	9	1.91855
Tfru31163_t	1146	947	275.085	22.0443
Tfru31164_t	1350	1151	0	0
Tfru31165_t	1410	1211	386	24.1893
Tfru31166_t	624	425	16	2.857
Tfru31167_t	1389	1190	75	4.78293
Tfru31168_t	693	494	44	6.75936
Tfru31169_t	543	344	0	0
Tfru31170_t	1086	887	1324	113.278
Tfru31171_t	2304	2105	694	25.02
Tfru31172_t	486	287	0	0
