target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	85	14.8792
Tfru30712_t	603	404	85	14.8792
Tfru03648_t	870	671	664	69.9824
Tfru14711_t	891	692	810.903	82.8716
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	10	3.48375
Tfru14836_t	2532	2333	165	5.00164
Tfru09187_t	762	563	96	12.0588
Tfru09188_t	792	593	0	0
Tfru09189_t	1881	1682	172	7.23178
Tfru09190_t	1119	920	0	0
Tfru09191_t	1050	851	3	0.249307
Tfru09192_t	1977	1778	16	0.636402
Tfru09193_t	720	521	57	7.73713
Tfru09194_t	579	380	2	0.372211
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	0	0
Tfru09198_t	513	314	231	52.0266
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	0	0
Tfru09201_t	3069	2870	60	1.47847
Tfru09202_t	3075	2876	5	0.122949
Tfru09203_t	2010	1811	61	2.38207
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	44	3.76262
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	0	0
Tfru09208_t	840	641	85	9.37786
Tfru09209_t	1008	809	198	17.3085
Tfru09210_t	1548	1349	0	0
Tfru09211_t	1065	866	246	20.0891
Tfru09212_t	321	122	0	0
Tfru09213_t	1428	1229	164	9.43702
Tfru09214_t	1443	1244	443	25.1841
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	75	4.01211
Tfru09217_t	1836	1637	56	2.41926
Tfru09218_t	1422	1223	2	0.11565
Tfru09219_t	1161	962	2	0.147027
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	90	27.6731
Tfru09222_t	696	497	281	39.9846
Tfru09223_t	3159	2960	221	5.28012
Tfru09224_t	870	671	196	20.6574
Tfru09225_t	447	248	181	51.6143
Tfru09226_t	879	680	0	0
Tfru09227_t	393	194	8	2.91629
Tfru01397_t	384	185	35	13.3795
Tfru01398_t	402	203	25	8.70937
Tfru01399_t	1083	884	14.7378	1.17903
Tfru01400_t	1041	842	124	10.4148
Tfru01401_t	312	113	0	0
Tfru01402_t	342	143	42	20.7709
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	0	0
Tfru01405_t	1284	1085	0	0
Tfru05778_t	822	623	140	15.8922
Tfru05779_t	426	227	4411	1374.21
Tfru05780_t	693	494	63	9.01896
Tfru05781_t	1831	1632	178	7.71335
