target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	134.992	21.8022
Tfru30712_t	603	404	134.992	21.8022
Tfru03648_t	870	671	644	62.6231
Tfru14711_t	891	692	934	88.0668
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	10	3.21422
Tfru14836_t	2532	2333	172	4.81044
Tfru09187_t	762	563	80	9.27156
Tfru09188_t	792	593	1	0.110031
Tfru09189_t	1881	1682	144	5.58609
Tfru09190_t	1119	920	0	0
Tfru09191_t	1050	851	2.21961	0.170184
Tfru09192_t	1977	1778	22.13	0.812121
Tfru09193_t	720	521	57	7.13853
Tfru09194_t	579	380	1	0.171707
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	0	0
Tfru09198_t	513	314	211	43.8454
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	0	0
Tfru09201_t	3069	2870	53	1.20494
Tfru09202_t	3075	2876	5	0.113436
Tfru09203_t	2010	1811	74	2.66615
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	73	5.75955
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	1	0.173073
Tfru09208_t	840	641	78	7.93977
Tfru09209_t	1008	809	250	20.1634
Tfru09210_t	1548	1349	2	0.0967363
Tfru09211_t	1065	866	343	25.8433
Tfru09212_t	321	122	0	0
Tfru09213_t	1428	1229	149	7.91053
Tfru09214_t	1443	1244	1045	54.811
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	166	8.1931
Tfru09217_t	1836	1637	74	2.94954
Tfru09218_t	1422	1223	2	0.106703
Tfru09219_t	1161	962	3	0.203478
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	73	20.7093
Tfru09222_t	696	497	325	42.6676
Tfru09223_t	3159	2960	231	5.09204
Tfru09224_t	870	671	212	20.6151
Tfru09225_t	447	248	160	42.0959
Tfru09226_t	879	680	0	0
Tfru09227_t	393	194	7	2.35433
Tfru01397_t	384	185	43	15.1659
Tfru01398_t	402	203	16	5.14275
Tfru01399_t	1083	884	19.0191	1.40381
Tfru01400_t	1041	842	164	12.7088
Tfru01401_t	312	113	0	0
Tfru01402_t	342	143	48	21.9016
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	0	0
Tfru01405_t	1284	1085	0	0
Tfru05778_t	822	623	333	34.8761
Tfru05779_t	426	227	5610	1612.53
Tfru05780_t	693	494	65	8.58535
Tfru05781_t	1831	1632	228	9.11562
Tfru30618_t	702	503	12	1.55663
Tfru30619_t	1200	1001	29	1.89032
Tfru30620_t	1710	1511	149	6.43418
Tfru30621_t	1515	1316	203	10.0649
Tfru20942_t	489	290	11	2.47495
Tfru31153_t	852	653	15	1.49882
Tfru31154_t	504	305	75	16.0447
Tfru31155_t	3048	2849	1708	39.1171
Tfru31156_t	420	221	0	0
Tfru31157_t	1257	1058	0	0
Tfru31158_t	873	674	0	0
Tfru31159_t	1263	1064	1	0.0613239
Tfru31160_t	2709	2510	295	7.66866
Tfru31161_t	363	164	7	2.785
Tfru31162_t	555	356	15	2.74924
Tfru31163_t	1146	947	349	24.0462
Tfru31164_t	1350	1151	0	0
Tfru31165_t	1410	1211	300	16.164
Tfru31166_t	624	425	1	0.153526
Tfru31167_t	1389	1190	15	0.822462
Tfru31168_t	693	494	39	5.15121
Tfru31169_t	543	344	0	0
Tfru31170_t	1086	887	1137	83.6389
Tfru31171_t	2304	2105	558	17.2963
Tfru31172_t	486	287	0	0
Tfru31173_t	1797	1598	501.322	20.4697
Tfru31174_t	684	485	14	1.88347
Tfru31175_t	4986	4787	102	1.3903
Tfru06117_t	384	185	0	0
Tfru23535_t	771	572	1	0.114071
Tfru23536_t	1239	1040	0	0
Tfru26940_t	303	104	0	0
Tfru26941_t	3243	3044	313.997	6.73057
Tfru26942_t	873	674	22.377	2.16628
Tfru26943_t	1287	1088	6.19438	0.371484
Tfru26944_t	306	107	0	0
Tfru26945_t	498	299	0	0
Tfru26946_t	426	227	0	0
Tfru06765_t	1140	941	0	0
Tfru06766_t	414	215	9	2.73134
Tfru06767_t	2094	1895	85	2.92672
Tfru06768_t	306	107	8	4.8784
Tfru06769_t	1923	1724	0	0
Tfru06770_t	1308	1109	99	5.82472
Tfru06771_t	3546	3347	0	0
Tfru06772_t	2094	1895	0	0
Tfru06773_t	1344	1145	0	0
Tfru06774_t	1500	1301	45	2.25687
Tfru09709_t	756	557	210	24.6
Tfru09710_t	1497	1298	689	34.6351
Tfru09711_t	1236	1037	10	0.629206
Tfru09712_t	2865	2666	297	7.26888
Tfru09713_t	2505	2306	181	5.12142
Tfru09714_t	2259	2060	736	23.3121
Tfru09715_t	576	377	4	0.692293
Tfru09716_t	1554	1355	170	8.18618
Tfru09717_t	501	302	248	53.5817
Tfru09718_t	1998	1799	933	33.8393
Tfru09719_t	402	203	510	163.925
Tfru09720_t	933	734	48	4.26694
Tfru09721_t	1494	1295	5	0.251925
Tfru09722_t	1674	1475	145	6.41427
Tfru09723_t	1344	1145	149	8.49087
Tfru09724_t	423	224	52	15.147
Tfru09725_t	648	449	0	0
Tfru09726_t	432	233	188	52.647
Tfru09727_t	1830	1631	257	10.2814
Tfru09728_t	2445	2246	223	6.47838
Tfru09729_t	933	734	31	2.75573
Tfru09730_t	1458	1259	37	1.91755
Tfru12095_t	924	725	0	0
Tfru26711_t	1209	1010	0	0
Tfru26712_t	1233	1034	0	0
Tfru26713_t	882	683	127	12.1326
Tfru26714_t	768	569	0	0
Tfru26715_t	738	539	173	20.9425
Tfru26716_t	1791	1592	28	1.14759
Tfru26717_t	582	383	0	0
Tfru26718_t	759	560	274	31.9252
Tfru26719_t	3387	3188	99	2.02623
Tfru26720_t	2685	2486	149	3.91072
Tfru26721_t	1986	1787	250	9.12824
Tfru26722_t	987	788	64	5.29938
Tfru26723_t	918	719	162	14.7014
Tfru26724_t	3036	2837	333	7.65872
Tfru26725_t	2274	2075	29	0.911909
Tfru26726_t	507	308	0	0
Tfru26727_t	549	350	55	10.2534
Tfru26728_t	1272	1073	66	4.01343
Tfru26729_t	987	788	161	13.3313
Tfru26730_t	381	182	51	18.284
Tfru09648_t	4326	4127	1153	18.2291
Tfru09649_t	459	260	64	16.0612
Tfru09650_t	966	767	384	32.6669
Tfru09651_t	1200	1001	417	27.1815
Tfru09652_t	435	236	0	0
Tfru09653_t	342	143	0	0
Tfru09654_t	2949	2750	1359	32.2447
Tfru09655_t	306	107	13	7.9274
Tfru09656_t	567	368	59	10.4611
Tfru09657_t	1569	1370	63	3.00048
Tfru09658_t	819	620	1	0.10524
Tfru09659_t	366	167	2	0.781421
Tfru09660_t	450	251	0	0
Tfru09661_t	858	659	0	0
Tfru09662_t	1134	935	8	0.558277
Tfru09663_t	585	386	98	16.5657
Tfru09664_t	1845	1646	84	3.32982
Tfru09665_t	909	710	16	1.47039
Tfru09666_t	906	707	0	0
Tfru27902_t	822	623	71	7.43604
Tfru27903_t	990	791	0	0
Tfru27904_t	2217	2018	0	0
Tfru18319_t	726	527	7	0.86668
Tfru18320_t	642	443	48	7.06983
Tfru18321_t	435	236	56	15.4827
Tfru18322_t	810	611	82	8.75677
Tfru18323_t	612	413	0	0
Tfru18324_t	594	395	145	23.952
Tfru18325_t	1635	1436	226	10.2689
Tfru18326_t	936	737	18	1.59359
Tfru18327_t	1224	1025	177	11.2673
Tfru18328_t	1014	815	1	0.0800597
Tfru02059_t	957	758	0	0
Tfru27779_t	731	532	7	0.858535
Tfru19265_t	1152	953	0	0
Tfru19266_t	1260	1061	14	0.860962
Tfru19267_t	447	248	9	2.36789
Tfru19268_t	1947	1748	678	25.3081
Tfru19269_t	882	683	0	0
Tfru22611_t	867	668	370	36.1407
Tfru05984_t	774	575	0	0
Tfru05985_t	1335	1136	286	16.427
Tfru05986_t	1938	1739	319	11.9691
Tfru05987_t	435	236	0	0
Tfru05988_t	606	407	334	53.5456
Tfru05989_t	1167	968	496	33.4332
Tfru05990_t	1446	1247	303	15.8543
Tfru05991_t	1662	1463	363	16.1895
Tfru05992_t	420	221	127	37.4958
Tfru05993_t	1578	1379	1774	83.9384
Tfru05994_t	1488	1289	21	1.06301
Tfru05995_t	477	278	213	49.9927
Tfru05996_t	1599	1400	641	29.8746
Tfru05997_t	1317	1118	58	3.38499
Tfru31345_t	1080	881	183	13.5533
Tfru31346_t	2853	2654	497	12.2188
Tfru31347_t	2160	1961	627	20.8623
Tfru31348_t	1524	1325	210	10.3413
Tfru31349_t	954	755	57	4.92606
Tfru31350_t	351	152	30	12.878
Tfru31351_t	1083	884	13	0.959539
Tfru31352_t	573	374	64	11.1655
Tfru31353_t	1221	1022	41	2.61761
Tfru31354_t	873	674	43	4.16275
Tfru31355_t	345	146	34	15.1949
Tfru31356_t	879	680	46	4.41388
Tfru31357_t	1206	1007	20	1.2959
Tfru31358_t	1638	1439	84	3.80882
Tfru31359_t	1020	821	3	0.238424
Tfru12096_t	1101	902	0	0
Tfru12097_t	339	140	0	0
Tfru12098_t	1059	860	0	0
Tfru12099_t	1122	923	0	0
Tfru12100_t	990	791	10	0.824888
Tfru12101_t	699	500	0	0
Tfru12102_t	480	281	0	0
Tfru01005_t	468	269	0	0
Tfru01006_t	408	209	0	0
Tfru01007_t	852	653	0	0
Tfru01008_t	411	212	0	0
Tfru01009_t	864	665	3	0.294355
Tfru01010_t	537	338	0	0
Tfru01011_t	738	539	0	0
Tfru01012_t	678	479	764	104.071
Tfru01013_t	519	320	44	8.97169
Tfru01014_t	558	359	75	13.6313
Tfru01015_t	918	719	108	9.80091
Tfru01016_t	939	740	318	28.0393
Tfru01017_t	1497	1298	98	4.92632
Tfru01018_t	1098	899	61	4.42733
Tfru01019_t	1710	1511	168	7.25465
Tfru01020_t	1203	1004	99	6.43388
Tfru01021_t	1299	1100	18	1.0677
Tfru01022_t	1005	806	25	2.02384
Tfru01023_t	1128	929	5	0.351177
Tfru01024_t	675	476	0	0
Tfru01025_t	1602	1403	100	4.65065
Tfru01026_t	1749	1550	685	28.8357
Tfru01027_t	738	539	0	0
Tfru01028_t	1734	1535	0	0
Tfru01029_t	1062	863	0	0
Tfru01030_t	1410	1211	3	0.16164
Tfru01031_t	438	239	0	0
Tfru01032_t	1068	869	40	3.00339
Tfru01033_t	414	215	12	3.64178
Tfru01034_t	1284	1085	234	14.0721
Tfru01035_t	405	206	101	31.9908
Tfru01036_t	1014	815	296	23.6977
