target_id	length	eff_length	est_counts	tpm
Tfru06123_t	603	404	8058.49	1778.1
Tfru30712_t	603	404	8058.49	1778.1
Tfru03648_t	870	671	513	68.1519
Tfru14711_t	891	692	158	20.3533
Tfru14834_t	744	545	0	0
Tfru14835_t	402	203	0	0
Tfru14836_t	2532	2333	135	5.15825
Tfru09187_t	762	563	96	15.2001
Tfru09188_t	792	593	0	0
Tfru09189_t	1881	1682	845	44.7831
Tfru09190_t	1119	920	0	0
Tfru09191_t	1050	851	2.09728	0.219689
Tfru09192_t	1977	1778	27.4464	1.37606
Tfru09193_t	720	521	36	6.15954
Tfru09194_t	579	380	0	0
Tfru09195_t	939	740	0	0
Tfru09196_t	468	269	0	0
Tfru09197_t	534	335	0	0
Tfru09198_t	513	314	16	4.54228
Tfru09199_t	354	155	0	0
Tfru09200_t	3357	3158	3	0.0846822
Tfru09201_t	3069	2870	31	0.96286
Tfru09202_t	3075	2876	3	0.0929856
Tfru09203_t	2010	1811	75	3.6917
Tfru09204_t	456	257	0	0
Tfru09205_t	1026	827	84	9.05434
Tfru09206_t	1113	914	0	0
Tfru09207_t	576	377	0	0
Tfru09208_t	840	641	9	1.25161
Tfru09209_t	1008	809	141	15.5365
Tfru09210_t	1548	1349	0	0
Tfru09211_t	1065	866	143	14.7198
Tfru09212_t	321	122	1	0.730673
Tfru09213_t	1428	1229	22	1.59571
Tfru09214_t	1443	1244	473	33.8941
Tfru09215_t	357	158	0	0
Tfru09216_t	1521	1322	47	3.1692
Tfru09217_t	1836	1637	10	0.544546
Tfru09218_t	1422	1223	0	0
Tfru09219_t	1161	962	2	0.185327
Tfru09220_t	387	188	0	0
Tfru09221_t	429	230	67	25.9675
Tfru09222_t	696	497	207	37.1276
Tfru09223_t	3159	2960	349	10.5103
Tfru09224_t	870	671	194	25.7728
Tfru09225_t	447	248	126	45.29
Tfru09226_t	879	680	0	0
Tfru09227_t	393	194	5	2.29748
Tfru01397_t	384	185	32	15.4192
Tfru01398_t	402	203	19	8.34336
Tfru01399_t	1083	884	2.4419	0.24624
Tfru01400_t	1041	842	210.577	22.2937
Tfru01401_t	312	113	1	0.788869
Tfru01402_t	342	143	68	42.3893
Tfru01403_t	330	131	0	0
Tfru01404_t	1689	1490	0	0
Tfru01405_t	1284	1085	7	0.575111
Tfru05778_t	822	623	78	11.1607
Tfru05779_t	426	227	946	371.491
Tfru05780_t	693	494	46	8.30069
Tfru05781_t	1831	1632	326	17.8066
Tfru30618_t	702	503	16	2.83554
Tfru30619_t	1200	1001	21	1.87012
Tfru30620_t	1710	1511	253	14.9259
Tfru30621_t	1515	1316	162	10.9734
Tfru20942_t	489	290	1	0.307387
Tfru31153_t	852	653	4	0.546047
Tfru31154_t	504	305	100	29.2269
Tfru31155_t	3048	2849	2425	75.8757
Tfru31156_t	420	221	0	0
Tfru31157_t	1257	1058	0	0
Tfru31158_t	873	674	0	0
Tfru31159_t	1263	1064	3	0.251341
Tfru31160_t	2709	2510	358	12.7143
Tfru31161_t	363	164	3	1.63065
Tfru31162_t	555	356	5	1.252
Tfru31163_t	1146	947	311	29.2748
Tfru31164_t	1350	1151	0	0
Tfru31165_t	1410	1211	203	14.9429
Tfru31166_t	624	425	0	0
Tfru31167_t	1389	1190	0	0
Tfru31168_t	693	494	0	0
Tfru31169_t	543	344	0	0
Tfru31170_t	1086	887	353	35.476
Tfru31171_t	2304	2105	288	12.1962
Tfru31172_t	486	287	0	0
Tfru31173_t	1797	1598	423.531	23.6261
Tfru31174_t	684	485	1	0.183798
Tfru31175_t	4986	4787	135	2.51393
Tfru06117_t	384	185	0	0
Tfru23535_t	771	572	0	0
Tfru23536_t	1239	1040	0	0
Tfru26940_t	303	104	0	0
Tfru26941_t	3243	3044	326.295	9.55541
Tfru26942_t	873	674	29.716	3.9302
Tfru26943_t	1287	1088	3.35889	0.275201
Tfru26944_t	306	107	0	0
Tfru26945_t	498	299	0	0
Tfru26946_t	426	227	0	0
Tfru06765_t	1140	941	1	0.0947313
Tfru06766_t	414	215	8	3.31692
Tfru06767_t	2094	1895	91	4.28071
Tfru06768_t	306	107	7	5.83173
Tfru06769_t	1923	1724	0	0
Tfru06770_t	1308	1109	168	13.504
Tfru06771_t	3546	3347	0	0
Tfru06772_t	2094	1895	0	0
Tfru06773_t	1344	1145	0	0
Tfru06774_t	1500	1301	5	0.342591
Tfru09709_t	756	557	153	24.4861
Tfru09710_t	1497	1298	191	13.1172
Tfru09711_t	1236	1037	0	0
Tfru09712_t	2865	2666	256	8.55979
Tfru09713_t	2505	2306	224	8.65908
Tfru09714_t	2259	2060	816	35.3107
Tfru09715_t	576	377	239	56.5119
Tfru09716_t	1554	1355	252	16.5785
Tfru09717_t	501	302	400	118.069
Tfru09718_t	1998	1799	119	5.89656
Tfru09719_t	402	203	74	32.4952
Tfru09720_t	933	734	50	6.07235
Tfru09721_t	1494	1295	6	0.413014
Tfru09722_t	1674	1475	223	13.4771
Tfru09723_t	1344	1145	149	11.6002
Tfru09724_t	423	224	25	9.9489
Tfru09725_t	648	449	0	0
Tfru09726_t	432	233	96	36.7281
Tfru09727_t	1830	1631	156	8.52617
Tfru09728_t	2445	2246	290	11.5099
Tfru09729_t	933	734	40	4.85788
Tfru09730_t	1458	1259	73	5.16869
Tfru12095_t	924	725	0	0
Tfru26711_t	1209	1010	0	0
Tfru26712_t	1233	1034	0	0
Tfru26713_t	882	683	132	17.2281
Tfru26714_t	768	569	0	0
Tfru26715_t	738	539	169	27.95
Tfru26716_t	1791	1592	2	0.111988
Tfru26717_t	582	383	0	0
Tfru26718_t	759	560	152	24.1957
Tfru26719_t	3387	3188	57	1.59382
Tfru26720_t	2685	2486	63	2.25903
Tfru26721_t	1986	1787	245	12.2215
Tfru26722_t	987	788	71	8.03184
Tfru26723_t	918	719	166	20.5808
Tfru26724_t	3036	2837	1017	31.9554
Tfru26725_t	2274	2075	6	0.25776
Tfru26726_t	507	308	0	0
Tfru26727_t	549	350	72	18.3378
Tfru26728_t	1272	1073	19	1.57847
Tfru26729_t	987	788	315	35.6342
Tfru26730_t	381	182	109	53.3873
Tfru09648_t	4326	4127	1490	32.1836
Tfru09649_t	459	260	56	19.1999
Tfru09650_t	966	767	104	12.0871
Tfru09651_t	1200	1001	285	25.3801
Tfru09652_t	435	236	0	0
Tfru09653_t	342	143	0	0
Tfru09654_t	2949	2750	1858	60.2277
Tfru09655_t	306	107	8	6.66483
Tfru09656_t	567	368	1379	334.041
Tfru09657_t	1569	1370	57.9314	3.76944
Tfru09658_t	819	620	0	0
Tfru09659_t	366	167	3	1.60136
Tfru09660_t	450	251	0	0
Tfru09661_t	858	659	0	0
Tfru09662_t	1134	935	0	0
Tfru09663_t	585	386	58	13.3944
Tfru09664_t	1845	1646	9	0.487412
Tfru09665_t	909	710	22	2.76215
Tfru09666_t	906	707	1	0.126085
Tfru27902_t	822	623	125	17.8857
Tfru27903_t	990	791	0	0
Tfru27904_t	2217	2018	0	0
Tfru18319_t	726	527	2	0.3383
Tfru18320_t	642	443	18	3.62203
Tfru18321_t	435	236	20	7.55442
Tfru18322_t	810	611	101	14.7354
Tfru18323_t	612	413	0	0
Tfru18324_t	594	395	130	29.3379
Tfru18325_t	1635	1436	239	14.8363
Tfru18326_t	936	737	43	5.20097
Tfru18327_t	1224	1025	56	4.87021
Tfru18328_t	1014	815	14	1.53128
Tfru02059_t	957	758	0	0
Tfru27779_t	731	532	4	0.670242
Tfru19265_t	1152	953	0	0
Tfru19266_t	1260	1061	0	0
Tfru19267_t	447	248	0	0
Tfru19268_t	1947	1748	619	31.5669
Tfru19269_t	882	683	0	0
Tfru22611_t	867	668	257	34.2957
Tfru05984_t	774	575	0	0
Tfru05985_t	1335	1136	123	9.65184
Tfru05986_t	1938	1739	508	26.0404
Tfru05987_t	435	236	0	0
Tfru05988_t	606	407	0	0
Tfru05989_t	1167	968	309	28.4555
Tfru05990_t	1446	1247	73	5.21843
Tfru05991_t	1662	1463	3358	204.607
Tfru05992_t	420	221	29	11.6974
Tfru05993_t	1578	1379	1518	98.1275
Tfru05994_t	1488	1289	9	0.622405
Tfru05995_t	477	278	80	25.6524
Tfru05996_t	1599	1400	310	19.7386
Tfru05997_t	1317	1118	44	3.50828
Tfru31345_t	1080	881	37	3.74377
Tfru31346_t	2853	2654	320	10.7481
Tfru31347_t	2160	1961	394	17.9103
Tfru31348_t	1524	1325	137	9.21696
Tfru31349_t	954	755	61	7.20221
Tfru31350_t	351	152	22	12.9022
Tfru31351_t	1083	884	6	0.605037
Tfru31352_t	573	374	31	7.38879
Tfru31353_t	1221	1022	41	3.57615
Tfru31354_t	873	674	87	11.5065
Tfru31355_t	345	146	70	42.7394
Tfru31356_t	879	680	69	9.04531
